文件名,键名,日文原文,当前使用,使用来源,todo/new_翻译,jp_cn_翻译,data_翻译
ProduceCard.json,p_card-01-men-2_104|0|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[4].text,元気,元氣,todo/new,元氣,,好調
ProduceCard.json,p_card-01-men-2_104|0|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[13].text,以降の<nobr>,之後的<nobr>,todo/new,之後的<nobr>,,8
ProduceCard.json,p_card-01-men-2_104|0|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[16].text,ターン開始後、,回合開始後，,todo/new,回合開始後，,,之後的<nobr>
ProduceCard.json,p_card-01-men-2_104|0|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[17].text,スキルカードを引く,抽取技能卡,todo/new,抽取技能卡,,3
ProduceCard.json,p_card-01-men-2_104|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[4].text,元気,元氣,todo/new,元氣,,好調
ProduceCard.json,p_card-01-men-2_104|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[13].text,以降の<nobr>,之後的<nobr>,todo/new,之後的<nobr>,,10
ProduceCard.json,p_card-01-men-2_104|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[16].text,ターン開始後、,回合開始後，,todo/new,回合開始後，,,之後的<nobr>
ProduceCard.json,p_card-01-men-2_104|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[17].text,スキルカードを引く,抽取技能卡,todo/new,抽取技能卡,,3
ProduceCard.json,p_card-01-men-2_104|2|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[4].text,元気,元氣,todo/new,元氣,,好調
ProduceCard.json,p_card-01-men-2_104|2|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[13].text,以降の<nobr>,之後的<nobr>,todo/new,之後的<nobr>,,11
ProduceCard.json,p_card-01-men-2_104|2|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[16].text,ターン開始後、,回合開始後，,todo/new,回合開始後，,,之後的<nobr>
ProduceCard.json,p_card-01-men-2_104|2|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[17].text,スキルカードを引く,抽取技能卡,todo/new,抽取技能卡,,3
ProduceCard.json,p_card-01-men-2_104|3|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[4].text,元気,元氣,todo/new,元氣,,好調
ProduceCard.json,p_card-01-men-2_104|3|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[13].text,以降の<nobr>,之後的<nobr>,todo/new,之後的<nobr>,,12
ProduceCard.json,p_card-01-men-2_104|3|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[16].text,ターン開始後、,回合開始後，,todo/new,回合開始後，,,之後的<nobr>
ProduceCard.json,p_card-01-men-2_104|3|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[17].text,スキルカードを引く,抽取技能卡,todo/new,抽取技能卡,,3
ProduceDescriptionLabel.json,Label_ExamLessonBuffMultiple|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamLessonBuff|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown||produceDescriptions[3].text,上昇量を,上升量將,todo/new,上升量將,,上升量的增加效果會
ProduceExamEffect.json,e_effect-exam_effect_timer-0002-01-e_effect-exam_gimmick_play_card_limit-01-p_card_search-deck_all|ProduceDescriptionType_PlainText|ExamDescriptionType_Unknown|ProduceExamEffectType_Unknown|ProduceCardGrowEffectType_Unknown|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|ProduceStepBusinessType_Unknown||ProduceDescriptionType_PlainText|ExamDescriptionType_Unknown|ProduceExamEffectType_Unknown|ProduceCardGrowEffectType_Unknown|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|ProduceStepBusinessType_Unknown||produceDescriptions[3].text,スキルカード使用不可,技能卡使用不可,todo/new,技能卡使用不可,,使用不可
