文件名,键名,日文原文,当前使用,使用来源,todo/new_翻译,jp_cn_翻译,data_翻译
ConditionSet.json,cd-dearness_normal-mission_hski-0001|1|description,親愛度Lv20達成時,親密度達到Lv20時,todo/new,親密度達到Lv20時,,親密度強化活動結束後
ConditionSet.json,cd-dearness_normal-mission_jsna-0001|1|description,親愛度Lv20達成時,親密度達到Lv20時,todo/new,親密度達到Lv20時,,親密度強化活動結束後
CostumeHead.json,costume_head_amao-hair-0006|description,プレミアムミッションパス 2025年4月で獲得など,高級任務通行證 2025年4月 等方式獲得,todo/new,高級任務通行證 2025年4月 等方式獲得,,高級任務通行證 2025年4月 獲得
CostumeHead.json,costume_head_hrnm-hair-0006|description,プレミアムミッションパス 2025年4月で獲得など,高級任務通行證 2025年4月 等方式獲得,todo/new,高級任務通行證 2025年4月 等方式獲得,,高級任務通行證 2025年4月 獲得
CostumeHead.json,costume_head_kllj-hair-0006|description,プレミアムミッションパス 2025年4月で獲得など,高級任務通行證 2025年4月 等方式獲得,todo/new,高級任務通行證 2025年4月 等方式獲得,,高級任務通行證 2025年4月 獲得
CostumeHead.json,costume_head_ssmk-hair-0006|description,プレミアムミッションパス 2025年4月で獲得など,高級任務通行證 2025年4月 等方式獲得,todo/new,高級任務通行證 2025年4月 等方式獲得,,高級任務通行證 2025年4月 獲得
EventLabel.json,EventType_Tour|name,スペシャルイベント,特別活動,todo/new,特別活動,,巡演
HelpCategory.json,help-livetour-event|23|name,スペシャルイベント,特別活動,todo/new,特別活動,,巡演活動
HelpContent.json,help-livetour-event|tour-tour|1|name,スペシャルイベント,特別活動,todo/new,特別活動,,巡演活動
ProduceCard.json,p_card-02-act-3_039|0|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[5].text,が7以上の場合、使用可,在7以上的時候，可以使用,todo/new,在7以上的時候，可以使用,,的<nobr>
ProduceCard.json,p_card-02-act-3_039|0|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[7].text,元気,元氣,todo/new,元氣,,%</nobr>數值變為
ProduceCard.json,p_card-02-act-3_039|0|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[8].text,の<nobr>,的<nobr>,todo/new,的<nobr>,,打分
ProduceCard.json,p_card-02-act-3_039|0|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[11].text,パラメータ,打分,todo/new,打分,,，
ProduceCard.json,p_card-02-act-3_039|0|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[12].text,上昇,上升,todo/new,上升,,元氣
ProduceCard.json,p_card-02-act-3_039|0|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[16].text,を0にする,變為0,todo/new,變為0,,<nobr>
